"harmonised_name","ihs2_name","ihs3_name","ihs4_name","ihs5_name","label","module","topic","needs_review","n_rounds"
"hh_t19","","","hh_t19","hh_t19","..HH were hungry but did not eat b'se not enough money/resources for food?","f28","shocks",FALSE,4
"hh_t20","","","hh_t20","hh_t20","..HH went without eating for a whole day b'se of lack of money/other resources?","f28","shocks",FALSE,4
"hh_v06_oth","","","hh_v06_oth","hh_v06_oth","Please specify the other reason why [NAME] was not measured","f30","anthropometrics",FALSE,4
"hh_v16","","","hh_v16","hh_v16","..given measles vaccination injections/MMR,a shot in the arm at 9 months/older?","f30","anthropometrics",FALSE,4
"hh_w08_oth","","","hh_w08_oth","hh_w08_oth","Specify the other kind of work that [NAME] did most of his/her life","f31","mortality",FALSE,4
"hh_w10_oth","","","hh_w10_oth","hh_w10_oth","Please, specify Other","f31","mortality",FALSE,4
"hh_w11_oth","","","hh_w11_oth","hh_w11_oth","Please, specify Other","f31","mortality",FALSE,4
"id","","","id","id","Network Id","f53","agriculture_crops",FALSE,4
"interviewdate","","","interviewdate","interviewdate","Interview Date","f2","demographics",FALSE,4
"item_code","item_cod","","","item_code","Food Item Code","f97","food_consumption",FALSE,4
"lat_modified","","lat_modified","lat_modified","","GPS Latitude Modified","f98","geovariables",FALSE,4
"lon_modified","","lon_modified","lon_modified","","GPS Longitude Modified","f98","geovariables",FALSE,4
"module_cb_endhr","","","module_cb_endhr","module_cb_endhr","ENUMERATOR: RECORD END TIME FOR MODULE CB: 

HOUR","f84","survey_admin",FALSE,4
"module_cb_endmin","","","module_cb_endmin","module_cb_endmin","MINUTES","f84","survey_admin",FALSE,4
"module_cb_startdate","","","module_cb_startdate","module_cb_startdate","ENUMERATOR: RECORD START DATE &amp; TIME FOR MODULE CB:","f84","survey_admin",FALSE,4
"module_cb_starthr","","","module_cb_starthr","module_cb_starthr","HOUR","f84","survey_admin",FALSE,4
"module_cb_startmin","","","module_cb_startmin","module_cb_startmin","MINUTES","f84","survey_admin",FALSE,4
